experiment,seed,episode_id,total_cost,p2p_volume,p2p_utilisation,voltage_violation_rate,thermal_violation_rate,battery_soc_mean,battery_soc_min,battery_soc_max,battery_throughput,battery_cycles,buyer_welfare,seller_welfare,campus_welfare,grid_import,grid_export,mean_reward,episode_return
random,456,0,-48934.74939802979,2291.353755012757,0.5041606070430144,0.16568047337278108,0.0,0.9378606412537704,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6507.44466423623,6507.44466423623,13014.88932847246,16766.078168370757,52128.73215456502,0.045244129367985934,160.5714151269821
random,456,1,-50884.32787006559,2161.194951448898,0.4765295483296409,0.16568047337278108,0.0,0.9398529741185657,0.5,0.9424711465835571,221.23557329177856,0.22123557329177856,6137.79366211487,6137.79366211487,12275.58732422974,16684.207829720694,52488.938674800345,0.04557606978711556,161.7494716744731
random,456,2,-52164.191047016226,2304.596169495723,0.5120538355451084,0.16568047337278108,0.0,0.9408817573411931,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6545.053121367853,6545.053121367853,13090.106242735706,16469.881319024345,52357.78758344512,0.047080341650870335,167.0881325189388
random,456,3,-49840.77504570763,2167.027340728294,0.4783271260695144,0.16568047337278108,0.0,0.9416258246940974,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6154.357647668355,6154.357647668355,12308.71529533671,16773.758587234548,52400.81672237899,0.04505272934550032,159.89213644718063
random,456,4,268424.8640907646,3804.0327977068964,0.45709182257594816,0.07100591715976332,0.0,0.7512220324584719,0.10000000149011612,0.949999988079071,6061.959885060787,6.061959885060787,10803.453145487585,10803.453145487585,21606.90629097517,50791.854435088404,40878.8622346084,-0.11904291503412708,-422.48330545611697
random,456,5,447825.45163178677,5630.135155119453,0.5218598039080066,0.03550295857988166,0.0,0.7521687339131649,0.10000000149011612,0.949999988079071,10252.754010260105,10.252754010260105,15989.583840539246,15989.58384053924,31979.167681078485,69354.43871238796,32981.24266128514,-0.20906126099315206,-741.9584152646967
random,456,6,442858.58475917287,5473.120941597828,0.5077811776810681,0.023668639053254437,0.0,0.7834313413095192,0.28788915276527405,0.949999988079071,9800.189644098282,9.800189644098282,15543.663474137831,15543.663474137831,31087.326948275662,68828.2567926695,33171.82811828194,-0.20695354044029737,-734.4781150226154
random,456,7,437157.0829726863,5890.263285018503,0.5462573995282443,0.03550295857988166,0.0,0.7352302856522904,0.11512081325054169,0.949999988079071,9299.458101391792,9.299458101391792,16728.347729452547,16728.347729452547,33456.695458905095,68211.0279556846,33360.33563655711,-0.2027149355788562,-719.4353063693607
random,456,8,427719.4312243408,5658.331774404809,0.5431678887388437,0.029585798816568046,0.0,0.8006672530308278,0.15892457962036133,0.949999988079071,9060.482323169708,9.060482323169708,16069.662239309657,16069.662239309659,32139.324478619317,66532.65072079515,32169.009030938116,-0.19781244115284288,-702.0363536514394
random,456,9,418471.9281155529,4773.377799790826,0.4945322261620025,0.005917159763313609,0.0,0.7639274215821684,0.10000000149011612,0.949999988079071,7838.698960840702,7.838698960840702,13556.392951405945,13556.392951405944,27112.78590281189,63787.55849170375,28482.211683099078,-0.1929812394467498,-684.8904187965151
random,456,10,416112.11267750664,5378.020595483049,0.561561098233945,0.011834319526627219,0.0,0.6689398719449721,0.10000000149011612,0.949999988079071,9944.810442626476,9.944810442626476,15273.578491171858,15273.578491171858,30547.156982343717,63501.908974655016,28491.136366834795,-0.1910130101055988,-677.9051728647701
random,456,11,421601.4508825635,5039.5094537523855,0.5171470632051587,0.011834319526627219,0.0,0.7005643194772788,0.10000000149011612,0.949999988079071,8919.967167079449,8.919967167079449,14312.206848656775,14312.206848656771,28624.413697313546,64349.24695464976,28889.02016793035,-0.19391473512024182,-688.2033949417382
random,456,12,414129.7994612264,5086.893529436388,0.5270399525063345,0.011834319526627219,0.0,0.8285904248085247,0.353514701128006,0.949999988079071,7745.4429268836975,7.7454429268836975,14446.777623599342,14446.777623599342,28893.555247198685,63249.735057518,28470.657656613846,-0.18988544431541687,-673.9034418754145
random,456,13,420723.4618941061,3910.517419057912,0.5469007364115606,0.0,0.0,0.8361046982587442,0.11749722063541412,0.949999988079071,7186.886057257652,7.186886057257652,11105.86947012447,11105.869470124466,22211.738940248935,57621.8132417681,13734.35843435504,-0.18110303647976222,-642.7346764666761
random,456,14,420766.76716660196,3633.822175687975,0.5354025509878377,0.0,0.0,0.8312940920245718,0.30990439653396606,0.949999988079071,8018.503963947296,8.018503963947296,10320.054978953847,10320.054978953847,20640.109957907694,56888.04836234677,12042.367131046165,-0.17948698938951035,-636.9993253433722
random,456,15,420893.1374258738,3772.440338643155,0.5601803140776266,0.0,0.0,0.828720630096966,0.3994735777378082,0.949999988079071,7536.380231380463,7.536380231380463,10713.730561746559,10713.730561746559,21427.461123493118,56843.93581617215,11905.88187526103,-0.17554586176159187,-623.0122633918895
random,456,16,412719.68935878575,3750.4917396677542,0.5624630035714355,0.0,0.0,0.807567241805545,0.283864825963974,0.949999988079071,7302.152961492538,7.3021529614925385,10651.396540656422,10651.39654065642,21302.79308131284,55802.791244426255,11818.275079575338,-0.17690978277552008,-627.8528190703207
random,456,17,268822.0791281427,2802.906623302663,0.5416694420553465,0.0,0.0,0.8730253944030175,0.5,0.949999988079071,5584.425896406174,5.584425896406174,7960.254810179562,7960.254810179561,15920.509620359124,38446.20474922276,12504.070106186162,-0.10839069903451942,-384.67859087350945
random,456,18,189490.91015488835,2216.1448248496044,0.532816007319058,0.0,0.0,0.8958287796325232,0.5,0.949999988079071,3999.4318187236786,3.9994318187236786,6293.851302572876,6293.851302572876,12587.702605145752,28430.852081253586,11859.70064812596,-0.07120592450115595,-252.7098260546025
random,456,19,189334.42933695728,2435.191611237574,0.5905721311365647,0.0,0.0,0.8537542264489733,0.2789897918701172,0.949999988079071,4611.020922660828,4.611020922660828,6915.944175914709,6915.944175914709,13831.888351829419,28365.747390794422,11754.610083712716,-0.07020192745106321,-249.14664052382332
